"Latin.Name","summer_tif","winter_tif","D","I","rank.corr","sum_lon","sum_lat","win_lon","win_lat","distance","bearing"
"Natalus mexicanus","./Summer_SDMs_redone/Natalus mexicanus_summer.tif","./Winter_SDMs_redone/Natalus mexicanus.tif",0.216414783726449,0.462950396254383,0.147709713874296,-95.3001883966393,25.7772034215638,-95.5478474512643,20.3007970664736,607015.751545708,2.34899533060394
"Natalus stramineus","./Summer_SDMs_redone/Natalus stramineus_summer.tif","./Winter_SDMs_redone/Natalus stramineus.tif",0.44440105674267,0.56252293338851,0.195609117697389,-83.5621744328612,18.9290890216559,-84.3274542542216,15.4614690231851,392303.149135534,11.8650896074443
"Natalus tumidirostris","./Summer_SDMs_redone/Natalus tumidirostris_summer.tif","./Winter_SDMs_redone/Natalus tumidirostris.tif",0.404734661654783,0.589313261363479,0.0435486157810303,-65.7913952916433,3.97390771553113,-66.2840411724771,3.30745677089573,91795.7818136814,36.5847698496603
"Neoromicia capensis","./Summer_SDMs_redone/Neoromicia capensis_summer.tif","./Winter_SDMs_redone/Neoromicia capensis.tif",0.67736951848006,0.77334047080097,0.559450972762397,26.1856077793743,-13.1001389173986,26.3591249724229,-16.626064359108,390581.944929776,-2.76304281929944
"Neoromicia nana","./Summer_SDMs_redone/Neoromicia nana_summer.tif","./Winter_SDMs_redone/Neoromicia nana.tif",0.677454478891433,0.766499568387268,0.648157038428898,23.1248876601528,-4.97953268450221,23.626635861392,-4.75478523344376,60951.3867194319,-114.084852238125
"Neoromicia rendalli","./Summer_SDMs_redone/Neoromicia rendalli_summer.tif","./Winter_SDMs_redone/Neoromicia rendalli.tif",0.266087382414618,0.296413355874277,-0.0791726330912447,23.5887456027879,-2.2828137956479,17.2285219218892,5.49937481011912,1113840.13421234,140.424425749926
"Neoromicia somalica","./Summer_SDMs_redone/Neoromicia somalica_summer.tif","./Winter_SDMs_redone/Neoromicia somalica.tif",0.619824478673008,0.696112819300077,0.427537198652685,21.4322674602243,1.60261689032479,20.7770322056792,3.42287407609768,214061.691996142,160.082329381687
"Neoromicia tenuipinnis","./Summer_SDMs_redone/Neoromicia tenuipinnis_summer.tif","./Winter_SDMs_redone/Neoromicia tenuipinnis.tif",0.603464832339869,0.62202674165559,0.37844172835913,16.0863301510075,3.98230659975623,19.3711588860409,3.07449433132698,378526.458976741,-74.5245149589197
"Noctilio albiventris","./Summer_SDMs_redone/Noctilio albiventris_summer.tif","./Winter_SDMs_redone/Noctilio albiventris.tif",0.271432509503248,0.461978024834904,0.317831945307554,-63.7943798887119,-1.40644766491498,-61.0173324234152,-3.44585835608128,382416.121043517,-53.9313540612167
"Noctilio leporinus","./Summer_SDMs_redone/Noctilio leporinus_summer.tif","./Winter_SDMs_redone/Noctilio leporinus.tif",0.443643675100434,0.607565917468959,0.392485782366369,-62.8362568269908,-5.88225367776604,-64.1561251827854,-2.16600851017657,436289.359451031,160.413045513274
"Nyctalus lasiopterus","./Summer_SDMs_redone/Nyctalus lasiopterus_summer.tif","./Winter_SDMs_redone/Nyctalus lasiopterus.tif",0.423587715935095,0.458143872756323,0.380828217256374,15.8740059716721,45.1437177409675,5.93612866420923,46.1434175882043,782143.341949255,94.5838050505997
"Nyctalus leisleri","./Summer_SDMs_redone/Nyctalus leisleri_summer.tif","./Winter_SDMs_redone/Nyctalus leisleri.tif",0.204511700476089,0.448620508955191,0.406246168924995,20.0105742561775,50.3112190224047,1.69252181273603,48.9866356296393,1327628.64532119,76.6938140017
