Latin Name,Common Name,Status,Fig_stat,Mig_or_NM,Combo,Choices,Additional migration info,Source,,Mig Status (based on Fleming & Eby 2003),percent overlap ,sum_lon,sum_lat,win_lon,win_lat,distance (m),dist (km),bearing,D,I,rank.corr
Eptesicus diminutus,Diminutive Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus floweri,Horn-skinned Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus furinalis,Argentinian Brown Bat,Nonmigratory,Nonmigratory,2,,,NM,Bisson et al. 2009,,Short-distance Migrant,59.24482297,-65.68872752,-4.92409246,-63.25681428,-10.4382573,666207.99,666.20799,-23.92172319,0.744617426,0.781253172,0.131089179
Eptesicus fuscus,Big Brown Bat,Potential Migrant/Nonmigratory,Nonmigratory,FALSE,,,"NM - Moussy et al 2013, sedentery - M&R2011, suggestion of altitudinal migration in M&B2013 (see sources within), NM-B&B2014, nm-W&M2022",Moussy et al 2013; McGuire & Ratcliffe 2011; Burns & Broder 2014; Webber & McGuire 2022,,,,,,,,,,,,,
Eptesicus gobiensis,Gobi Big Brown Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus hottentotus,Long-tailed Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus innoxius,Harmless Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus isabellinus,Meridional Serotine,Nonmigratory,Nonmigratory,2,,,putative NM - Moussy 2013; NM-B&B2014,Moussy et al 2013; Burns & Broder 2014,,,,,,,,,,,,,
Eptesicus japonensis,Japanese Short-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus kobayashii,Kobayashi's Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus langeri,Langer's Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus nilssonii,Northern Bat,Migratory/Nonmigratory,Nonmigratory,FALSE,,,"NM in Europe - Fleming 2003, NM - Bisson, resident - Ahlen 2009, Hutterer et al. 2005 mentions that they are regional migrants (provides distances and evidence), potential altitudinal mig - McGuire & Boyle 2013",Fleming 2003; Bisson et al 2009; Ahlen et al. 2009; M&B2013,,Short-distance Migrant,6.554610221,30.63402,57.57703741,20.98859927,54.29072311,704234.0792,704.2340792,54.80731027,0.629700955,0.710634885,0.662927345
Eptesicus ognevi,Ognev's Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus orinocensis,Orinoco Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus pachyomus,Mouse-like Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus pachyotis,Thick-eared Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus platyops,Lagos Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus serotinus,Common Serotine,Potential Migrant/Nonmigratory,Nonmigratory,FALSE,,,"NM in Europe - Fleming 2003, partial mig? - suggested by Ahlen et al. 2009, regional migrant also suggested by Hutterer et al. 2005 (evidence suggests shorter distances); altitudinal mig. suggested by McGuire & Boyle 2013, sedentery - R&M2011, sedentery - Strelkov1969, nm-W&M2022",Fleming 2003; McGuire & Ratcliffe 2011; Bisson et al 2009; https://animalia.bio/serotine-bat; Ahlen et al. 2009; Hutterer et al. 2005; Strelkov 1969; Webber & McGuire 2022,,Long-distance Migrant,3.751699317,-3.938063978,46.17157738,9.167595325,48.75791011,1027584.401,1027.584401,-101.3179058,0.174051,0.416546789,0.371282181
Eptesicus taddeii,Taddei&apos;s Serotine,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus tatei,Sombre Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Eptesicus ulapesensis,Ulapes Brown Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Euderma maculatum,Spotted Bat,Migratory,Migratory,1,,,mig - Webber & McGuire2022,Webber & McGuire 2022,,,,,,,,,,,,,
Eudiscopus denticulus,Disk-footed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Falsistrellus mackenziei,Mackenzie's False Pipistrelle,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Falsistrellus tasmaniensis,Eastern False Pipistrelle,Potential Migrant,Migratory,3,,,May be undergoing altitudinal migration,Driessen et al. 2011 - status and conservation of bats in Tasmania,,Short-distance Migrant,2.243400412,146.8860407,-35.87401618,147.4848731,-34.43432662,168785.5698,168.7855698,-161.311046,0.340505464,0.544868295,0.52623757
Glauconycteris alboguttata,Striped Butterfly Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Glauconycteris argentata,Common Butterfly Bat,Unknown,Unknown,0,,,Not much is known about this species,"see Rahoum 2015, Hassanin et al. 2017 for species information",,Short-distance Migrant,40.3202077,23.84741357,1.165533354,24.7697688,1.177415946,102663.2047,102.6632047,-90.72386388,0.655169463,0.719182358,0.369024647
Glauconycteris atra,Black Butterfly Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Glauconycteris beatrix,Beatrix Butterfly Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Glauconycteris curryae,Curry's Butterfly Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Glauconycteris egeria,Bibundi Butterfly Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Glauconycteris gleni,Glen's Butterfly Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
